Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC COLEGIO CRISTAO CRUZEIRO;12000094;AC;Cruzeiro do Sul;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA ANTONIO COSTEIRA, 1505 PROX. AO MERC. COHAB. COHAB. 69980-000 Cruzeiro do Sul - AC.";(68) 999934670;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-7.6273672;-72.6827112
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC PRESIDENTE TANCREDO DE ALMEIDA NEVES;12000108;AC;Cruzeiro do Sul;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA ESPIRITO SANTO, 81 ELETROACRE. 69980-000 Cruzeiro do Sul - AC.";(68) 33222395;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-7.6230689;-72.6763978
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC 17 DE NOVEMBRO;12000124;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"BR 307 ESTRADA DO PENTECOSTES BELO JARDIM, SEM NUMERO INSTITUICAO ESCOLAR. ASSIS BRASIL-ESTRADA DO PENTECOSTE. 69980-000 Cruzeiro do Sul - AC.";(68) 33221081;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA 21 DE ABRIL;12000132;AC;Cruzeiro do Sul;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA RIO JURUA, S/N MIRITIZAL. 69980-000 Cruzeiro do Sul - AC.";(68) 999722791;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-7.640504808;-72.64688015
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC 06 DE AGOSTO;12000140;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"BR 307 RAMAL DOS CAROBAS, 69980-000 Cruzeiro do Sul - AC.";(68) 33221081;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;Ensino Fundamental;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC 7 DE SETEMBRO;12000159;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"ESTRADA DO AEROPORTO KM 10, SN ESCOLA. SAO CRISTOVAO. 69980-000 Cruzeiro do Sul - AC.";(68) 996009409;Estadual;Não Informado;Não;Em Tramitação;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-7.5933632;-72.7500079
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC ABSOLON MOREIRA;12000167;AC;Cruzeiro do Sul;Urbana;A escola não está em área de localização diferenciada;Pública;"AV COPACABANA, 2500 PREDIO ESTADUAL. FLORESTA. 69980-000 Cruzeiro do Sul - AC.";(68) 33229281;Estadual;Não Informado;Não;Em Tramitação;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-7.6122461;-72.6814174
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC AIRTON SENA DA SILVA;12000183;AC;Cruzeiro do Sul;Rural;Área de assentamento;Pública;"BR 364 - RAMAL DO DARCI, RAMAL. ZONA RURAL. 69980-000 Cruzeiro do Sul - AC.";(68) 33221081;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC PADRE ALFREDO NUSS;12000191;AC;Cruzeiro do Sul;Urbana;A escola não está em área de localização diferenciada;Pública;"ESTRADA DO AEROPORTO, CONJUNTO THAUMATURGO DE AZEVEDO, 530 AO LADO DA IGREJA. COHAB. 69980-000 Cruzeiro do Sul - AC.";(68) 996115301;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC ANTONIO FERREIRA GOMES;12000248;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"AVENIDA RAIMUNDA NONATA DIAS DA SILVA, 0336 SANTA ROSA. 69980-000 Cruzeiro do Sul - AC.";(68) 996090190;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;;
