Ano;Região;UF;Município;Código Município IBGE;CNPJ Município/SEDUC;Nome Escola;Código Escola;Rede Atendimento;Quantidade Alunos;CNPJ Executora;Nome Executora;Programa;Destinação;Valor Custeio;Valor Capital;Valor Total;Data Solicitação
2023;NORTE;AC;CRUZEIRO DO SUL;1200203;'04033254000167;ESC NORBERTO ASSUNCAO CAVALCANTE;12001104;ADMINISTRAÇÃO PÚBLICA ESTADUAL;136;'03339688000127;COMITE EXECUTIVO NOBERTO ASSUNCAO CAVALCANTE;PDDE ESTRUTURA;PDDE AGUA 2020;25600;6400;32000;05/12/2023
2023;NORTE;AC;PORTO WALTER;1200393;'63603625000168;ESC VENCESLAU BRAZ;12003522;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;146;'03491528000107;CONSELHO ESCOLAR VENCESLAU BRAZ;PDDE ESTRUTURA;PDDE AGUA 2020;25600;6400;32000;05/12/2023
2023;NORTE;AC;RODRIGUES ALVES;1200427;'84306455000120;ESC EDSON MOURA;12003611;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;106;'09293315000149;CONSELHO ESCOLAR EDSON MOURA;PDDE ESTRUTURA;PDDE AGUA 2020;22400;5600;28000;18/12/2023
2023;NORTE;AC;FEIJO;1200302;'04005179000120;ESC EUGENIA MORAIS DA SILVEIRA;12004243;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;206;'12008233000110;COMITE EXECUTIVO EUGENIA MORAIS;PDDE ESTRUTURA;PDDE AGUA 2020;25600;6400;32000;17/11/2023
2023;NORTE;AC;TARAUACA;1200609;'34693564000179;ESC CEL JOSE MARQUES DE ALBUQUERQUE;12005592;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;204;'06334310000129;COMITE EXECUTIVO PARAISO;PDDE ESTRUTURA;PDDE AGUA 2020;25600;6400;32000;05/12/2023
2023;NORTE;AC;TARAUACA;1200609;'34693564000179;ESC MAJOR BAYMA;12005975;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;129;'06334610000108;COMITE EXECUTIVO VITORIA NOVA;PDDE ESTRUTURA;PDDE AGUA 2020;22400;5600;28000;05/12/2023
2023;NORTE;AC;TARAUACA;1200609;'34693564000179;ESC MARIA ODILIA DA SILVA DE MELO;12006130;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;183;'06334432000115;COMITE EXECUTIVO RIO BRANCO;PDDE ESTRUTURA;PDDE AGUA 2020;25600;6400;32000;05/12/2023
2023;NORTE;AC;TARAUACA;1200609;'34693564000179;ESC SAO SEBASTIAO;12006475;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;189;'06334496000116;COMITE EXECUTIVO JOACY;PDDE ESTRUTURA;PDDE AGUA 2020;22400;5600;28000;08/12/2023
2023;NORTE;AC;PLACIDO DE CASTRO;1200385;'04076733000160;ESC PROF CARLOS JOSE DOS SANTOS;12010626;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;129;'03170418000135;CONSELHO ESCOLAR PROF CARLOS JOSE DOS SANTOS;PDDE ESTRUTURA;PDDE AGUA 2020;22400;5600;28000;08/12/2023
2023;NORTE;AC;RIO BRANCO;1200401;'04033254000167;ESC DR AUGUSTO MONTEIRO;12012297;ADMINISTRAÇÃO PÚBLICA ESTADUAL;74;'03178791000132;COMITE EXECUTIVO DR AUGUSTO MONTEIRO;PDDE ESTRUTURA;PDDE AGUA 2020;22400;5600;28000;06/12/2023
