Ano;Região;UF;Município;Código Município IBGE;CNPJ Município/SEDUC;Nome Escola;Código Escola;Rede Atendimento;Quantidade Alunos;CNPJ Executora;Nome Executora;Programa;Destinação;Valor Custeio;Valor Capital;Valor Total;Data Solicitação
2023;NORTE;AC;MANCIO LIMA;1200336;'04059671000189;ESC 7 DE SETEMBRO;12001872;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;25;'03162389000160;CONSELHO ESCOLAR JOAQUIM MOREIRA;PDDE ESTRUTURA;PDDE ÁGUA 2023;20000;5000;25000;06/12/2023
2023;NORTE;AC;MANCIO LIMA;1200336;'04059671000189;ESC JOAO SABINO DA ROCHA;12002119;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;42;'03165340000160;CONSELHO ESCOLAR RUBENS SABINO DA ROCHA;PDDE ESTRUTURA;PDDE ÁGUA 2023;20000;5000;25000;06/12/2023
2023;NORTE;AC;MANCIO LIMA;1200336;'04059671000189;ESC JOSEFA DE QUEIROZ;12002186;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;37;'07515148000108;CONSELHO ESCOLAR LUTAS E CONQUISTAS;PDDE ESTRUTURA;PDDE ÁGUA 2023;20000;5000;25000;06/12/2023
2023;NORTE;AC;JORDAO;1200328;'84306497000160;ESC AMAZILIO SAMPAIO;12005088;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;44;'14027178000130;CONSELHO ESCOLAR CONSORCIO LUZ DIVINA;PDDE ESTRUTURA;PDDE ÁGUA 2023;20000;5000;25000;06/12/2023
2023;NORTE;AC;JORDAO;1200328;'84306497000160;ESC CORONEL FLORENCIO DA CUNHA;12005142;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;47;'12113028000114;CONSELHO ESCOLAR CONSORCIO SALVADOR;PDDE ESTRUTURA;PDDE ÁGUA 2023;20000;5000;25000;12/12/2023
2023;NORTE;AC;JORDAO;1200328;'84306497000160;ESC FRANCISCO PERES BAYMA;12005185;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;33;'14027160000139;CONSELHO ESCOLAR CONSORCIO FRANCISCO MARQUES BAYMA;PDDE ESTRUTURA;PDDE ÁGUA 2023;20000;5000;25000;12/12/2023
2023;NORTE;AC;JORDAO;1200328;'84306497000160;ESC GRASIELA MELO FREIRE;12005193;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;31;'07507311000190;CONSELHO ESCOLAR COMUNIDADE UNIDA NA PAZ;PDDE ESTRUTURA;PDDE ÁGUA 2023;20000;5000;25000;18/12/2023
2023;NORTE;AC;JORDAO;1200328;'84306497000160;ESC NOSSA SENHORA DA LUZ;12005282;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;23;'14027178000130;CONSELHO ESCOLAR CONSORCIO LUZ DIVINA;PDDE ESTRUTURA;PDDE ÁGUA 2023;20000;5000;25000;06/12/2023
2023;NORTE;AC;JORDAO;1200328;'84306497000160;ESC NOSSA SENHORA DE GUADALUPE;12005290;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;25;'12113028000114;CONSELHO ESCOLAR CONSORCIO SALVADOR;PDDE ESTRUTURA;PDDE ÁGUA 2023;20000;5000;25000;12/12/2023
2023;NORTE;AC;JORDAO;1200328;'84306497000160;ESC OSSAN GAVIAO;12005320;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;16;'14027178000130;CONSELHO ESCOLAR CONSORCIO LUZ DIVINA;PDDE ESTRUTURA;PDDE ÁGUA 2023;20000;5000;25000;06/12/2023
2023;NORTE;AC;JORDAO;1200328;'84306497000160;ESC RAIMUNDA LIMA ARAGAO;12005339;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;17;'14027160000139;CONSELHO ESCOLAR CONSORCIO FRANCISCO MARQUES BAYMA;PDDE ESTRUTURA;PDDE ÁGUA 2023;20000;5000;25000;12/12/2023
2023;NORTE;AC;BRASILEIA;1200104;'04508933000145;ESC DOM PEDRO I;12016276;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;9;'12324324000164;CONSELHO ESCOLAR CONSORCIO FLOR DE NATAL;PDDE ESTRUTURA;PDDE ÁGUA 2023;20000;5000;25000;06/12/2023
2023;NORTE;AC;BRASILEIA;1200104;'04508933000145;ESC NOVA UNIAO;12016705;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;23;'12398879000150;CONSELHO ESCOLAR CONSORCIO SAO FRANCISCO II;PDDE ESTRUTURA;PDDE ÁGUA 2023;20000;5000;25000;06/12/2023
2023;NORTE;AC;BRASILEIA;1200104;'04508933000145;ESC RAIMUNDA FLORES;12016845;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;20;'12398879000150;CONSELHO ESCOLAR CONSORCIO SAO FRANCISCO II;PDDE ESTRUTURA;PDDE ÁGUA 2023;20000;5000;25000;06/12/2023
2023;NORTE;AC;BRASILEIA;1200104;'04508933000145;ESC SANTA QUITERIA;12016977;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;36;'12615360000187;CONSELHO ESCOLAR CONSORCIO SAO FRANCISCO I;PDDE ESTRUTURA;PDDE ÁGUA 2023;20000;5000;25000;06/12/2023
2023;NORTE;AC;BRASILEIA;1200104;'04508933000145;ESC JOSE MARREIRA FILHO;12019828;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;11;'12398879000150;CONSELHO ESCOLAR CONSORCIO SAO FRANCISCO II;PDDE ESTRUTURA;PDDE ÁGUA 2023;20000;5000;25000;06/12/2023
2023;NORTE;AC;JORDAO;1200328;'84306497000160;ESC SANTA LUZIA;12020001;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;39;'14027160000139;CONSELHO ESCOLAR CONSORCIO FRANCISCO MARQUES BAYMA;PDDE ESTRUTURA;PDDE ÁGUA 2023;20000;5000;25000;12/12/2023
2023;NORTE;AC;BRASILEIA;1200104;'04508933000145;ESC CEL JOAO BRANDAO;12021318;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;9;'12324324000164;CONSELHO ESCOLAR CONSORCIO FLOR DE NATAL;PDDE ESTRUTURA;PDDE ÁGUA 2023;20000;5000;25000;06/12/2023
2023;NORTE;AC;MARECHAL THAUMATURGO;1200351;'84306463000176;ESC INDIGENA RAINHA DA FLORESTA;12021830;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;90;'11287858000103;CONSELHO ESCOLAR EDUCACAO DESAFIO PARTICIPATIVO;PDDE ESTRUTURA;PDDE ÁGUA 2023;22400;5600;28000;06/12/2023
2023;NORTE;AC;MARECHAL THAUMATURGO;1200351;'84306463000176;ESC INDIGENA ASHANINKA;12021865;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;48;'11287858000103;CONSELHO ESCOLAR EDUCACAO DESAFIO PARTICIPATIVO;PDDE ESTRUTURA;PDDE ÁGUA 2023;20000;5000;25000;06/12/2023
2023;NORTE;AC;JORDAO;1200328;'84306497000160;ESC DEUS SEJA LOUVADO;12022780;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;15;'14027178000130;CONSELHO ESCOLAR CONSORCIO LUZ DIVINA;PDDE ESTRUTURA;PDDE ÁGUA 2023;20000;5000;25000;06/12/2023
2023;NORTE;AC;BRASILEIA;1200104;'04508933000145;ESC HUMAITA;12025534;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;6;'12324324000164;CONSELHO ESCOLAR CONSORCIO FLOR DE NATAL;PDDE ESTRUTURA;PDDE ÁGUA 2023;20000;5000;25000;06/12/2023
2023;NORTE;AC;RODRIGUES ALVES;1200427;'84306455000120;ESC SANTA CLARA;12025615;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;153;'08733070000160;CONSELHO ESCOLAR SANTA CLARA;PDDE ESTRUTURA;PDDE ÁGUA 2023;25600;6400;32000;06/12/2023
2023;NORTE;AC;MARECHAL THAUMATURGO;1200351;'84306463000176;ESC JOAO BATISTA LOPES;12026344;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;13;'11295753000198;CONSELHO ESCOLAR EDUCACAO E CULTURA;PDDE ESTRUTURA;PDDE ÁGUA 2023;20000;5000;25000;06/12/2023
2023;NORTE;AC;MARECHAL THAUMATURGO;1200351;'84306463000176;ESC RAIMUNDO BEZERRA FROTA;12026360;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;42;'11295743000152;CONSELHO ESCOLAR EDUCACAO EM BUSCA DO SER;PDDE ESTRUTURA;PDDE ÁGUA 2023;20000;5000;25000;12/12/2023
2023;NORTE;AC;FEIJO;1200302;'04005179000120;ESC PROFESSORA JOSEFA LIGIA;12028983;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;8;'15020402000125;COMITE EXECUTIVO CONSORCIO BERLIM RECREIO;PDDE ESTRUTURA;PDDE ÁGUA 2023;20000;5000;25000;06/12/2023
2023;NORTE;AC;JORDAO;1200328;'84306497000160;ESC FRANCISCO FERNANDES DE CARVALHO;12029033;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;31;'14027160000139;CONSELHO ESCOLAR CONSORCIO FRANCISCO MARQUES BAYMA;PDDE ESTRUTURA;PDDE ÁGUA 2023;20000;5000;25000;12/12/2023
2023;NORTE;AC;BRASILEIA;1200104;'04508933000145;ESC JUELITA MEIRELES;12029319;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;10;'06256815000112;CONSELHO DAS ESCOLAS DE ZONA RURAL;PDDE ESTRUTURA;PDDE ÁGUA 2023;20000;5000;25000;06/12/2023
2023;NORTE;AC;BRASILEIA;1200104;'04508933000145;ESC CAMPO VERDE;12035424;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;30;'12398879000150;CONSELHO ESCOLAR CONSORCIO SAO FRANCISCO II;PDDE ESTRUTURA;PDDE ÁGUA 2023;20000;5000;25000;06/12/2023
