Ano;Região;UF;Município;Código Município IBGE;CNPJ Município/SEDUC;Nome Escola;Código Escola;Rede Atendimento;Quantidade Alunos;CNPJ Executora;Nome Executora;Programa;Destinação;Valor Custeio;Valor Capital;Valor Total;Data Solicitação
2023;NORTE;AC;CRUZEIRO DO SUL;1200203;'04033254000167;ESC NORBERTO ASSUNCAO CAVALCANTE;12001104;ADMINISTRAÇÃO PÚBLICA ESTADUAL;136;'03339688000127;COMITE EXECUTIVO NOBERTO ASSUNCAO CAVALCANTE;PDDE ESTRUTURA;PDDE AGUA 2020;25600;6400;32000;05/12/2023
2023;NORTE;AC;PORTO WALTER;1200393;'63603625000168;ESC DOM JOSE HASCHER;12003093;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;115;'03472939000147;CONSELHO ESCOLAR DOM JOSE HASCHER;PDDE ESTRUTURA;PDDE AGUA 2020;22400;5600;28000;
2023;NORTE;AC;PORTO WALTER;1200393;'63603625000168;ESC VENCESLAU BRAZ;12003522;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;146;'03491528000107;CONSELHO ESCOLAR VENCESLAU BRAZ;PDDE ESTRUTURA;PDDE AGUA 2020;25600;6400;32000;05/12/2023
2023;NORTE;AC;RODRIGUES ALVES;1200427;'84306455000120;ESC EDSON MOURA;12003611;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;106;'09293315000149;CONSELHO ESCOLAR EDSON MOURA;PDDE ESTRUTURA;PDDE AGUA 2020;22400;5600;28000;18/12/2023
2023;NORTE;AC;FEIJO;1200302;'04005179000120;ESC EUGENIA MORAIS DA SILVEIRA;12004243;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;206;'12008233000110;COMITE EXECUTIVO EUGENIA MORAIS;PDDE ESTRUTURA;PDDE AGUA 2020;25600;6400;32000;17/11/2023
2023;NORTE;AC;FEIJO;1200302;'04033254000167;ESC INDIGENA TEKAHAYNE SHANENAWA;12004642;ADMINISTRAÇÃO PÚBLICA ESTADUAL;195;'11211998000190;COMITE EXECUTIVO TEKAHAYNE SHANENAWA;PDDE ESTRUTURA;PDDE AGUA 2020;22400;5600;28000;
2023;NORTE;AC;TARAUACA;1200609;'34693564000179;ESC CEL JOSE MARQUES DE ALBUQUERQUE;12005592;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;204;'06334310000129;COMITE EXECUTIVO PARAISO;PDDE ESTRUTURA;PDDE AGUA 2020;25600;6400;32000;05/12/2023
2023;NORTE;AC;TARAUACA;1200609;'34693564000179;ESC MAJOR BAYMA;12005975;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;129;'06334610000108;COMITE EXECUTIVO VITORIA NOVA;PDDE ESTRUTURA;PDDE AGUA 2020;22400;5600;28000;05/12/2023
2023;NORTE;AC;TARAUACA;1200609;'34693564000179;ESC MARIA ODILIA DA SILVA DE MELO;12006130;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;183;'06334432000115;COMITE EXECUTIVO RIO BRANCO;PDDE ESTRUTURA;PDDE AGUA 2020;25600;6400;32000;05/12/2023
2023;NORTE;AC;TARAUACA;1200609;'34693564000179;ESC SAO SEBASTIAO;12006475;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;189;'06334496000116;COMITE EXECUTIVO JOACY;PDDE ESTRUTURA;PDDE AGUA 2020;22400;5600;28000;08/12/2023
2023;NORTE;AC;PLACIDO DE CASTRO;1200385;'04076733000160;ESC PROF CARLOS JOSE DOS SANTOS;12010626;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;129;'03170418000135;CONSELHO ESCOLAR PROF CARLOS JOSE DOS SANTOS;PDDE ESTRUTURA;PDDE AGUA 2020;22400;5600;28000;08/12/2023
2023;NORTE;AC;RIO BRANCO;1200401;'04033254000167;ESC DR AUGUSTO MONTEIRO;12012297;ADMINISTRAÇÃO PÚBLICA ESTADUAL;74;'03178791000132;COMITE EXECUTIVO DR AUGUSTO MONTEIRO;PDDE ESTRUTURA;PDDE AGUA 2020;22400;5600;28000;06/12/2023
2023;NORTE;AC;PORTO ACRE;1200807;'84306661000130;ESC SAO JOSE I;12015750;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;96;'01178222000161;COMITE EXECUTIVO SAO JOSE I;PDDE ESTRUTURA;PDDE AGUA 2020;22400;5600;28000;
2023;NORTE;AC;PLACIDO DE CASTRO;1200385;'04033254000167;ESC ANTONIA DOS REIS AZEVEDO;12019178;ADMINISTRAÇÃO PÚBLICA ESTADUAL;54;'07850547000125;COMITE EXECUTIVO ANTONIA DOS REIS AZEVEDO;PDDE ESTRUTURA;PDDE AGUA 2020;22400;5600;28000;05/12/2023
2023;NORTE;AC;TARAUACA;1200609;'34693564000179;ESC PEDRO ZUMBA DA SILVA;12019720;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;490;'04466141000155;COMITE EXECUTIVO GREGORIO;PDDE ESTRUTURA;PDDE AGUA 2020;25600;6400;32000;05/12/2023
2023;NORTE;AC;RIO BRANCO;1200401;'04033254000167;ESC 25 DE JULHO;12020290;ADMINISTRAÇÃO PÚBLICA ESTADUAL;128;'11197129000158;COMITE EXECUTIVO 25 DE JULHO;PDDE ESTRUTURA;PDDE AGUA 2020;22400;5600;28000;05/12/2023
2023;NORTE;AC;BUJARI;1200138;'04033254000167;ESC NOVA VIDA;12020680;ADMINISTRAÇÃO PÚBLICA ESTADUAL;230;'08835314000116;COMITE EXECUTIVO NOVA VIDA;PDDE ESTRUTURA;PDDE AGUA 2020;25600;6400;32000;05/12/2023
2023;NORTE;AC;TARAUACA;1200609;'34693564000179;ESC AURELINO PEREIRA DE BRITO;12027685;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;378;'07511820000197;COMITE EXECUTIVO TAQUARI;PDDE ESTRUTURA;PDDE AGUA 2020;25600;6400;32000;05/12/2023
2023;NORTE;AC;RODRIGUES ALVES;1200427;'84306455000120;ESC INENCY MORORO DE OLIVEIRA;12028452;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;256;'08048508000171;CONSELHO ESCOLAR INENCY MORORO DE OLIVEIRA;PDDE ESTRUTURA;PDDE AGUA 2020;25600;6400;32000;08/08/2023
2023;NORTE;AC;CRUZEIRO DO SUL;1200203;'04033254000167;ESC PRINCESA DA FLORESTA;12030210;ADMINISTRAÇÃO PÚBLICA ESTADUAL;126;'21318133000180;COMITE EXECUTIVO PRINCESA DA FLORESTA;PDDE ESTRUTURA;PDDE AGUA 2020;22400;5600;28000;05/12/2023
2023;NORTE;AC;MARECHAL THAUMATURGO;1200351;'84306463000176;ESC JOSE DO PATROCINIO;12002712;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;68;'11287845000126;CONSELHO ESCOLAR TRANSPARENCIA E COMPANHEIRISMO;PDDE ESTRUTURA;PDDE Agua 2021;20000;5000;25000;27/10/2023
2023;NORTE;AC;MARECHAL THAUMATURGO;1200351;'84306463000176;ESC JOSE PINTO PEREIRA;12002763;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;91;'11287900000188;CONSELHO ESCOLAR EDUCACAO E CREDIBILIDADE;PDDE ESTRUTURA;PDDE Agua 2021;20000;5000;25000;27/10/2023
2023;NORTE;AC;FEIJO;1200302;'04033254000167;ESC ANTONIO SIMPLICIO DE OLIVEIRA;12004022;ADMINISTRAÇÃO PÚBLICA ESTADUAL;80;'07146299000136;COMITE EXECUTIVO ANTONIO SIMPLICIO DE OLIVEIRA;PDDE ESTRUTURA;PDDE Agua 2021;22400;5600;28000;
2023;NORTE;AC;TARAUACA;1200609;'34693564000179;ESC DR DEMOSTENES RODRIGUES;12005738;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;80;'04466118000160;COMITE EXECUTIVO TAMANDARE;PDDE ESTRUTURA;PDDE Agua 2021;22400;5600;28000;27/10/2023
2023;NORTE;AC;TARAUACA;1200609;'04033254000167;ESC MARECHAL CASTELO BRANCO;12005983;ADMINISTRAÇÃO PÚBLICA ESTADUAL;13;'11396188000155;COMITE EXECUTIVO CONSORCIO ITAMARATY;PDDE ESTRUTURA;PDDE Agua 2021;20000;5000;25000;23/11/2023
2023;NORTE;AC;TARAUACA;1200609;'34693564000179;ESC MANOEL TEIXEIRA;12006009;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;239;'07511836000108;COMITE EXECUTIVO MANOEL TEIXEIRA;PDDE ESTRUTURA;PDDE Agua 2021;20000;5000;25000;22/11/2023
2023;NORTE;AC;TARAUACA;1200609;'34693564000179;ESC MARIA DA GLORIA RODRIGUES;12006068;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;43;'07511832000111;COMITE EXECUTIVO MARIA DA GLORIA RODRIGUES;PDDE ESTRUTURA;PDDE Agua 2021;25600;6400;32000;27/10/2023
2023;NORTE;AC;TARAUACA;1200609;'04033254000167;ESC MARIA DE LOURDES ALBUQUERQUE DOS SANTOS;12006076;ADMINISTRAÇÃO PÚBLICA ESTADUAL;107;'11396164000104;COMITE EXECUTIVO CONSORCIO VITORIA;PDDE ESTRUTURA;PDDE Agua 2021;25600;6400;32000;23/11/2023
2023;NORTE;AC;RIO BRANCO;1200401;'04033254000167;ESC ADOLFO BARBOSA LEITE;12011045;ADMINISTRAÇÃO PÚBLICA ESTADUAL;27;'01191004000167;COMITE EXECUTIVO ADOLFO BARBOSA LEITE;PDDE ESTRUTURA;PDDE Agua 2021;20000;5000;25000;23/11/2023
2023;NORTE;AC;XAPURI;1200708;'04033254000167;ESC EDMUNDO PINTO;12017590;ADMINISTRAÇÃO PÚBLICA ESTADUAL;10;'11451177000120;COMITE EXECUTIVO CONSORCIO EDMUNDO PINTO;PDDE ESTRUTURA;PDDE Agua 2021;20000;5000;25000;23/11/2023
2023;NORTE;AC;XAPURI;1200708;'04033254000167;ESC IVAIR HIGINO;12017760;ADMINISTRAÇÃO PÚBLICA ESTADUAL;9;'11488233000100;COMITE EXECUTIVO CONSORCIO IVAIR HIGINO;PDDE ESTRUTURA;PDDE Agua 2021;22400;5600;28000;23/11/2023
2023;NORTE;AC;XAPURI;1200708;'04033254000167;ESC JOAO EDUARDO;12017841;ADMINISTRAÇÃO PÚBLICA ESTADUAL;31;'11492389000156;COMITE EXECUTIVO CONSORCIO JULIO MARTINS;PDDE ESTRUTURA;PDDE Agua 2021;20000;5000;25000;23/11/2023
