Ano;Região;UF;Municipio;CNPJ EEX;Código Escola;Escola;Localização;CNPJ UEX;Razão Social;DDD Telefone;Telefone;Email;Rede de Atendimento;Mandato Dirigente;Data Fim do Mandato;Data Atualização;Hora Atualização
2023;NORTE;AC;ACRELANDIA;84306737000127;12008966;ESC ALTINA MAGALHAES DA SILVA;Rural;2437372000105;CONSELHO ESCOLAR ALTINA MAGALHAES DA SILVA;68;99085698;;PARTICULAR;À VENCER;31/05/2025;;
2023;NORTE;AC;ACRELANDIA;84306737000127;12023582;ESC BOM JESUS;Rural;32227567000191;CONSELHO ESCOLAR BOM JESUS;68;81074391;;PARTICULAR;VENCIDO;19/05/2024;;
2023;NORTE;AC;ACRELANDIA;84306737000127;12020613;ESC BRANCA DE NEVE;Urbana;10902719000171;CONS ESCOLAR DA EMEI CRECHE E PRE-ESCOLAR BRANCA DE NEVE;68;32351430;;PARTICULAR;À VENCER;29/10/2025;;
2023;NORTE;AC;ACRELANDIA;84306737000127;12023531;ESC NOVO HORIZONTE;Urbana;4457407000101;CONSELHO ESCOLAR DRUMOND DE ANDRADE;68;99667487;;PARTICULAR;À VENCER;31/05/2025;27/04/2023;10:04:27
2023;NORTE;AC;ACRELANDIA;84306737000127;12048224;ESC RITA BOCALOM;Urbana;10276005000103;CONSELHO ESCOLAR SEBASTIAO RAMOS DA FONSECA;68;81145844;;PARTICULAR;À VENCER;19/05/2025;;
2023;NORTE;AC;ASSIS BRASIL;4045993000179;12015768;ESC ALADIA AQUINO BONFIM;Rural;4045993000179;PREF MUN DE ASSIS BRASIL;68;35481208;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;26/04/2023;09:04:12
2023;NORTE;AC;ASSIS BRASIL;4045993000179;12015776;ESC ALBERTO MARTAN;Rural;4045993000179;PREF MUN DE ASSIS BRASIL;68;35481208;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;26/04/2023;09:04:12
2023;NORTE;AC;ASSIS BRASIL;4045993000179;12025984;ESC ALONSO GONCALVES GOMES;Rural;4045993000179;PREF MUN DE ASSIS BRASIL;68;35481208;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;26/04/2023;09:04:12
2023;NORTE;AC;ASSIS BRASIL;4045993000179;12022080;ESC ALTAMIRA;Rural;4045993000179;PREF MUN DE ASSIS BRASIL;68;35481208;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;26/04/2023;09:04:12
2023;NORTE;AC;ASSIS BRASIL;4045993000179;12027499;ESC ANTONIO RODRIGUES DOS ANJOS;Rural;4045993000179;PREF MUN DE ASSIS BRASIL;68;35481208;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;26/04/2023;09:04:12
2023;NORTE;AC;ASSIS BRASIL;4045993000179;12019887;ESC BAIXA VERDE;Rural;4045993000179;PREF MUN DE ASSIS BRASIL;68;35481208;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;26/04/2023;09:04:12
2023;NORTE;AC;ASSIS BRASIL;4045993000179;12015849;ESC CARIOLANDO DE SOUZA GOMES;Rural;4045993000179;PREF MUN DE ASSIS BRASIL;68;35481208;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;26/04/2023;09:04:12
2023;NORTE;AC;ASSIS BRASIL;4045993000179;12015830;ESC CHICO MENDES;Rural;4045993000179;PREF MUN DE ASSIS BRASIL;68;35481208;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;26/04/2023;09:04:12
2023;NORTE;AC;ASSIS BRASIL;4045993000179;12015873;ESC EDILSA MARIA BATISTA;Urbana;3197963000115;CONSELHO ESCOLAR EDILSA MARIA BATISTA;68;99714325;;PARTICULAR;À VENCER;06/02/2027;25/03/2024;06:03:54
2023;NORTE;AC;ASSIS BRASIL;4045993000179;12027502;ESC FRANCISCO CHAGAS DE SOUZA;Rural;4045993000179;PREF MUN DE ASSIS BRASIL;68;35481208;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;26/04/2023;09:04:12
2023;NORTE;AC;ASSIS BRASIL;4045993000179;12015890;ESC FRANCISCO MENEZES DE ARAUJO;Rural;4045993000179;PREF MUN DE ASSIS BRASIL;68;35481208;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;26/04/2023;09:04:12
2023;NORTE;AC;ASSIS BRASIL;4045993000179;12015920;ESC GEZILDA DE FREITAS PAIXAO;Rural;4045993000179;PREF MUN DE ASSIS BRASIL;68;35481208;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;26/04/2023;09:04:12
2023;NORTE;AC;ASSIS BRASIL;4045993000179;12022071;ESC HENRIQUE PASCOAL;Rural;4045993000179;PREF MUN DE ASSIS BRASIL;68;35481208;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;26/04/2023;09:04:12
2023;NORTE;AC;ASSIS BRASIL;4045993000179;12032743;ESC HUMAITA;Rural;4045993000179;PREF MUN DE ASSIS BRASIL;68;35481208;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;26/04/2023;09:04:12
2023;NORTE;AC;ASSIS BRASIL;4045993000179;12019844;ESC IDELZUITE RIBEIRO;Rural;4045993000179;PREF MUN DE ASSIS BRASIL;68;35481208;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;26/04/2023;09:04:12
2023;NORTE;AC;ASSIS BRASIL;4045993000179;12015970;ESC JOSE HIPOLITO DE SOUZA;Rural;4045993000179;PREF MUN DE ASSIS BRASIL;68;35481208;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;26/04/2023;09:04:12
2023;NORTE;AC;ASSIS BRASIL;4045993000179;12015989;ESC JOSE VILEME DE ARAUJO;Rural;4045993000179;PREF MUN DE ASSIS BRASIL;68;35481208;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;26/04/2023;09:04:12
2023;NORTE;AC;ASSIS BRASIL;4045993000179;12021164;ESC LEDA BATISTA DA SILVA;Rural;4045993000179;PREF MUN DE ASSIS BRASIL;68;35481208;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;26/04/2023;09:04:12
2023;NORTE;AC;ASSIS BRASIL;4045993000179;12022063;ESC MANOEL SABOIA DOS SANTOS;Rural;4045993000179;PREF MUN DE ASSIS BRASIL;68;35481208;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;26/04/2023;09:04:12
2023;NORTE;AC;ASSIS BRASIL;4045993000179;12022047;ESC MARCIONILIA ALMIRA DE ARAUJO;Rural;4045993000179;PREF MUN DE ASSIS BRASIL;68;35481208;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;26/04/2023;09:04:12
2023;NORTE;AC;ASSIS BRASIL;4045993000179;12030244;ESC MARIA FERREIRA DA SILVA;Urbana;10503366000137;CONSELHO ESCOLAR MARIA FERREIRA DA SILVA;68;99814572;;PARTICULAR;À VENCER;31/12/2027;25/03/2024;11:03:07
